Date : 2023-12-31 14:43:19
Directory : /Users/andrearizza/Desktop/react/wehub/src
Total : 108 files,  8494 codes, 1266 comments, 2016 blanks, all 11776 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/DettaglioAziende.jsx                    | JavaScript JSX |        130 |         17 |         73 |        220 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/DettaglioDipendente.jsx                 | JavaScript JSX |         11 |          0 |         12 |         23 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/DettaglioIntervista.jsx                 | JavaScript JSX |         56 |         40 |         29 |        125 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/DettaglioKeyPeople.jsx                  | JavaScript JSX |         -5 |          1 |         14 |         10 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/Interviste.jsx                          | JavaScript JSX |         23 |          7 |         21 |         51 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/ListaNeed.jsx                           | JavaScript JSX |         17 |          1 |          2 |         20 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/DettaglioPagine/NeedMatchPages.jsx                      | JavaScript JSX |        126 |          2 |         65 |        193 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/FatturazioneAttiva.jsx                                  | JavaScript JSX |         32 |          0 |          2 |         34 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/FatturazionePassiva.jsx                                 | JavaScript JSX |          7 |          0 |          1 |          8 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/Fornitori.jsx                                           | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/HR.jsx                                                  | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/KeyPeople.jsx                                           | JavaScript JSX |          0 |          0 |          1 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaAzienda.jsx                      | JavaScript JSX |          9 |          2 |          4 |         15 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaContatto.jsx                     | JavaScript JSX |         22 |          2 |          9 |         33 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaDipendente.jsx                   | JavaScript JSX |         99 |         19 |         29 |        147 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaFatturazioneAttiva.jsx           | JavaScript JSX |        119 |          2 |         22 |        143 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaFatturazionePassiva.jsx          | JavaScript JSX |         31 |          2 |          9 |         42 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaFornitori.jsx                    | JavaScript JSX |         29 |          2 |          2 |         33 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaIntervista.jsx                   | JavaScript JSX |         54 |         66 |         29 |        149 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaNeed.jsx                         | JavaScript JSX |         24 |          3 |          3 |         30 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaProgetto.jsx                     | JavaScript JSX |         -1 |          0 |          2 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ModificaPagine/ModificaStaffing.jsx                     | JavaScript JSX |        162 |          7 |         46 |        215 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/Need.jsx                                                | JavaScript JSX |          2 |          3 |          4 |          9 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/PaginaProva.jsx                                         | JavaScript JSX |         78 |         15 |         42 |        135 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/Progetti.jsx                                            | JavaScript JSX |          9 |          0 |          4 |         13 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/ProvaInvioFile.jsx                                      | JavaScript JSX |         80 |          5 |         17 |        102 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/Recruiting.jsx                                          | JavaScript JSX |         -2 |          3 |          2 |          3 |
| /Users/andrearizza/Desktop/react/wehub/src/pages/TimesheetPages.jsx                                      | JavaScript JSX |         16 |         23 |         21 |         60 |
| /Users/andrearizza/Desktop/react/wehub/src/store/slices/intervisteSlice.js                               | JavaScript     |         34 |          4 |          4 |         42 |
| /Users/andrearizza/Desktop/react/wehub/src/store/slices/recruitingSlice.js                               | JavaScript     |         28 |          2 |          6 |         36 |
| /Users/andrearizza/Desktop/react/wehub/src/store/store.js                                                | JavaScript     |         11 |          2 |          3 |         16 |
| /Users/andrearizza/Desktop/react/wehub/src/styles/HR.css                                                 | CSS            |          1 |          0 |          0 |          1 |
| /Users/andrearizza/Desktop/react/wehub/src/styles/Need.css                                               | CSS            |         -3 |          3 |          0 |          0 |
| /Users/andrearizza/Desktop/react/wehub/src/styles/Sidebar.css                                            | CSS            |         29 |          2 |          4 |         35 |
| Total                                                                                                    |                |      8,494 |      1,266 |      2,016 |     11,776 |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
